id,diem_dau,diem_cuoi,khoang_cach_km
1,Cảng Sotrans (Thủ Đức),Phao PL4 (NB),30
2,Cảng Sotrans (Thủ Đức),Phao Gò Gia,65
3,Cảng Sotrans (Thủ Đức),Tân Uyên (BD),80
4,Cảng Sotrans (Thủ Đức),Cảng An Ngãi (BRVT),105
5,Cảng Sotrans (Thủ Đức),Cảng Long Thuận (ĐN),37
6,Cảng Rạch Chiếc,Cảng An Ngãi (BRVT),105
7,Cảng Rạch Chiếc,Phao Thiềng Liềng,63
8,Cảng Rạch Chiếc,Cảng Tổng Hợp (Thị Vải),75
9,Quảng Xuyên,Fico Tây Ninh,172
10,Fico Tây Ninh,Cảng Hiệp Phước,185
11,Cảng Long Thuận (ĐN),Fico Tây Ninh,197
12,Cảng Long Thuận (ĐN),XM Kiên Lương,334
13,XM Công Thanh (ĐN),XM Con Gà,334
14,Cảng Ngã Bảy (HG),Vĩnh Xương (AG),159
15,Cảng Long Hậu (LA),Phao HL4 (NB),9
16,Cảng Long Hậu (LA),Cảng Long Thuận (ĐN),16
17,Cảng Long Hậu (LA),Cảng Lotus,28
18,Cảng Long Hậu (LA),Phao Thiềng Liềng,42
19,Cảng Long Hậu (LA),Phao Gò Gia,44
20,Cảng Long Hậu (LA),Cảng Tổng Hợp (Thị Vải),54
21,Cảng Long Hậu (LA),Tân Uyên (BD),74
22,Cảng Long Hậu (LA),Cảng An Ngãi (BRVT),84
23,Cảng Long Hậu (LA),Vĩnh Xương (AG),246
24,Cảng Thốt Nốt (CT),Vĩnh Xương (AG),89
25,Cảng Thốt Nốt (CT),XM Kiên Lương,136
26,Cảng Mỹ Xuyên (ST),Cảng An Ngãi (BRVT),319
27,Phao Thiềng Liềng,Cảng Lotus,52
28,TGN Dầu tiếng (BD),Cảng An Ngãi (BRVT),183
29,Tuấn An Phú (BD),Cảng Thành Được (BD),12
30,Tuấn An Phú (BD),Cảng Tổng Hợp (Thị Vải),110
31,Tân Uyên (BD),TN Phú Hữu,50
32,Tân Uyên (BD),XM Hạ Long (HP),70
33,TN Phú Hữu,Phao ĐT1 (Cát Lái),7
34,TN Phú Hữu,Cảng Lotus,18
35,TN Phú Hữu,XM Hạ Long (HP),20
36,TN Phú Hữu,Cảng Long Thuận (ĐN),22
37,TN Phú Hữu,Cảng Long Bình (ĐN),29
38,TN Phú Hữu,Cảng Nhất Nam (ĐN),31
39,TN Phú Hữu,Quảng Xuyên,33
40,TN Phú Hữu,Phao Thiềng Liềng,48
41,TN Phú Hữu,Phao Gò Gia,50
42,TN Phú Hữu,Tân Uyên (BD),50
43,TN Phú Hữu,Cảng Thành Được (BD),55
44,TN Phú Hữu,Ụ Đại Nam (Long An),56
45,TN Phú Hữu,Cảng Tổng Hợp (Thị Vải),60
46,TN Phú Hữu,Cảng Phú Mỹ,60
47,TN Phú Hữu,Cảng An Ngãi (BRVT),90
48,TN Phú Hữu,Fico Tây Ninh,205
49,TN Phú Hữu,Vĩnh Xương (AG),262
50,Phao ĐT1 (Cát Lái),Cảng Hoàng Tuấn (LA),89
51,TN Long An,Quảng Xuyên,63
52,TN Long An,Cảng Long Thuận (ĐN),88
53,TN Long An,Cảng Lotus,100
54,TN Long An,Fico Tây Ninh,109
55,TN Long An,Phao Thiềng Liềng,114
56,TN Long An,Phao Gò Gia,116
57,TN Long An,Cảng Long Bình (ĐN),125
58,TN Long An,Cảng Tổng Hợp (Thị Vải),127
60,TN Long An,Cảng Thành Được (BD),152
61,TN Long An,Cảng An Ngãi (BRVT),156
62,TN Long An,Cảng Thiện Tân (BD),162
63,TN Long An,Cảng Bảo Thy (BD),168
64,TN Long An,Vĩnh Xương (AG),226
65,Cảng Hoàng Tuấn (LA),Phao ĐT1 (Cát Lái),89
66,Cảng Hoàng Tuấn (LA),Fico Tây Ninh,109
67,Cảng Bourbon (LA),Fico Tây Ninh,109
68,Cảng Phan Vũ (LA),Fico Tây Ninh,85
69,Cảng Phan Vũ (LA),Tân Uyên (BD),170
70,Cảng Ngọc Bích (LA),Cảng An Ngãi (BRVT),159
71,Cảng Bến Lức (LA),Tân Uyên (BD),146
72,Cảng Bến Lức (LA),Cảng Tổng Hợp (Thị Vải),127
73,Cảng Bến Lức (LA),Cảng An Ngãi (BRVT),156
